Trial,Wire,NetType,Run,RunSteps,NetworkFilename,Image,Forward,Left,LeftRotation
10,1fail,actor,131,3,actor_131_3.h5,06,0.423164,0.29015,0.00206109
10,1fail,actor,131,3,actor_131_3.h5,07,0.424098,0.275315,-0.0449241
10,1fail,actor,131,3,actor_131_3.h5,08,0.431691,0.269713,-0.0654233
10,1fail,actor,131,3,actor_131_3.h5,09,0.451041,0.182315,-0.020873
10,1fail,actor,131,3,actor_131_3.h5,10,0.42554,0.261626,0.009946
10,1fail,actor,131,3,actor_131_3.h5,11,0.425012,0.285001,-0.0246854
10,1fail,actor,131,3,actor_131_3.h5,12,0.42904,0.253441,-0.0846727
10,1fail,actor,131,3,actor_131_3.h5,13,0.425141,0.286084,0.00181698
10,1fail,actor,131,3,actor_131_3.h5,14,0.431595,0.268613,-0.0536637
10,1fail,actor,131,3,actor_131_3.h5,15,0.42979,0.246321,0.0243918
10,1fail,actor,131,3,actor_131_3.h5,16,0.426303,0.293256,-0.0872015
10,1fail,actor,141,4,actor_141_4.h5,01,0.432975,0.257073,0.0143982
10,1fail,actor,141,4,actor_141_4.h5,02,0.418332,0.234407,-0.0719773
10,1fail,actor,141,4,actor_141_4.h5,03,0.428588,0.2601,-0.0178359
10,1fail,actor,141,4,actor_141_4.h5,04,0.436994,0.210952,-0.0352661
10,1fail,actor,141,4,actor_141_4.h5,05,0.424382,0.256826,-0.0409905
10,1fail,actor,141,4,actor_141_4.h5,06,0.42214,0.272151,0.000822265
10,1fail,actor,141,4,actor_141_4.h5,07,0.424053,0.244741,-0.0563037
10,1fail,actor,141,4,actor_141_4.h5,08,0.433077,0.233303,-0.0899329
10,1fail,actor,141,4,actor_141_4.h5,09,0.450945,0.161668,-0.0283982
10,1fail,actor,141,4,actor_141_4.h5,10,0.423573,0.251888,0.0141482
10,1fail,actor,141,4,actor_141_4.h5,11,0.423766,0.263776,-0.0314203
10,1fail,actor,141,4,actor_141_4.h5,12,0.428414,0.219075,-0.0974245
